  PID  PPID STAT     ELAPSED    RSS COMMAND
  942     1 Ss   05-23:11:24   1792 /System/Library/DriverExtensions/IOUserBluetoothSerialDriver.dext/IOUserBluetoothSerialDriver com.apple.IOUserBluetoothSerialDriver 0x100000e4d com.apple.IOUserBluetoothSerialDriver
  944     1 Ss   05-23:11:24   1792 /System/Library/DriverExtensions/IOUserBluetoothSerialDriver.dext/IOUserBluetoothSerialDriver com.apple.IOUserBluetoothSerialDriver 0x100000e4f com.apple.IOUserBluetoothSerialDriver
  992     1 S    05-23:11:23   2560 /usr/sbin/distnoted agent
  994     1 S    05-23:11:23  27136 /System/Library/CoreServices/UniversalControl.app/Contents/MacOS/UniversalControl
 1015     1 S    05-23:11:23   7536 /System/Library/CoreServices/RemoteManagement/ARDAgent.app/Contents/MacOS/ARDAgent
 1046     1 Ss   05-23:11:22   2352 gpg-agent --homedir /Users/sab-mini/.gnupg --daemon
 1047  1046 S    05-23:11:22   5824 scdaemon --multi-server
 1058     1 Ss   05-23:11:22   3120 keyboxd --homedir /Users/sab-mini/.gnupg --daemon
 1173     1 Ss   05-23:11:20  19040 /System/Applications/News.app/Contents/PlugIns/NewsToday2.appex/Contents/MacOS/NewsToday2 -LaunchArguments eyJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUubmV3cy53aWRnZXQiLCJ0eXBlIjoxfQ==
 1178     1 S    01-16:12:30   9488 /usr/libexec/SidecarRelay
 1180     1 Ss   05-23:11:20  16896 /System/Applications/Journal.app/Contents/PlugIns/JournalWidgetsSecure.appex/Contents/MacOS/JournalWidgetsSecure -LaunchArguments eyJ0eXBlIjoxLCJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5qb3VybmFsLndpZGdldHMuc2VjdXJlIiwiZW5oYW5jZWRTZWN1cml0eSI6ZmFsc2V9
 1188     1 Ss   05-23:11:20  16272 /System/Applications/Podcasts.app/Contents/PlugIns/PodcastsWidget.appex/Contents/MacOS/PodcastsWidget -LaunchArguments eyJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUucG9kY2FzdHMud2lkZ2V0IiwidHlwZSI6MX0=
 1198     1 Ss   05-23:11:19  17040 /System/Applications/Home.app/Contents/PlugIns/HomeEnergyWidgetsExtension.appex/Contents/MacOS/HomeEnergyWidgetsExtension -LaunchArguments eyJ0eXBlIjoxLCJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5Ib21lLkhvbWVFbmVyZ3lXaWRnZXRzIiwiZW5oYW5jZWRTZWN1cml0eSI6ZmFsc2V9
 1220     1 Ss   05-23:11:19   8704 /System/Library/CoreServices/SubmitDiagInfo server-init
 1264     1 Ss   05-23:11:18  12272 /System/Applications/VoiceMemos.app/Contents/PlugIns/RecordWidgetExtension.appex/Contents/MacOS/RecordWidgetExtension -LaunchArguments eyJ0eXBlIjoxLCJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5Wb2ljZU1lbW9zLlJlY29yZFdpZGdldCIsImVuaGFuY2VkU2VjdXJpdHkiOmZhbHNlfQ==
 1273     1 Ss   05-23:11:18  24448 /System/Applications/Stocks.app/Contents/PlugIns/StocksWidget.appex/Contents/MacOS/StocksWidget -LaunchArguments eyJ0eXBlIjoxLCJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5zdG9ja3Mud2lkZ2V0IiwiZW5oYW5jZWRTZWN1cml0eSI6ZmFsc2V9
